name, content
接獲通知,接獲[通報單位][通報人員]通報位於[事故地點]有旅客[主訴]身體不適，需要醫護出診協助。
通知1,通知T1-OCC。
通知2,通知T2-OCC。
通知3,通知另外航廈醫護及EMT請求支援。
抵達現場,抵達現場，病人[意識]，坐在椅子上/坐在機艙內/躺在地上，測量生命徵象[體溫、脈搏、呼吸、血壓、血氧]，自述[主訴]，醫師診療評估中。
測血糖,依醫囑執行測血糖[血糖值]。
診斷給藥,醫師診視後，診斷為[初步診斷]，向病人解釋後開立[藥物]使用並衛教。
開診斷書,開立[診斷書]。
轉診,醫師診視後，診斷為[初步診斷]，建議轉診至醫院進一步檢查及治療，醫師跟病人及家屬解釋後，表示同意，通知航空公司協助退關/入境後送事宜。
轉診交班,協助醫師打電話至[轉診醫院]電話交班。
轉送通知,通知救護車EMT，病人需後送至[轉送醫院]，請其待命等候病人入關。
一般通關,現由航勤人員協助推輪椅，陪同病人通關。
緊急通關,由醫師判斷病人診斷為[初步診斷]，由於情況危急，須採緊急機坪通關，告知現場航空公司地勤，請其協助聯繫相關單位。
轉送1,抵達醫療中心/北空橋，協助更換至擔架上。
轉送2,出發前往[轉送醫院]
轉送3,抵達[轉送醫院]急診，與急診檢傷護理師交班。
收費,向病人及家屬解釋出診費用[出診費]，病人表示了解及接受並採[支付方式]支付，並請其簽名，開立中文/英文收據一份。
結束出診,收拾用物，結束出診。
返回待命,返回醫療中心待命。
